Estação;N;Gumbel;;;;Generalizada de Valores Extremos;;;;;;;;
;;csi;;alpha;;csi;;;alpha;;;kappa;;
;;MOM-L;ML;MOM-L;ML;MOM-L;ML;GEV;MOM-L;ML;GEV;MOM-L;ML;GEV
1948003;25;82,413;82,699;18,238;17,879;82,371;82,911;82,195;18,153;17,996;17,717;-0,005;0,022;-0,057
1948005;38;81,346;81,811;19,912;17,648;79,975;80,121;80,41;16,625;16,132;16,258;-0,167;-0,188;-0,15
1948006;38;76,829;76,875;18,533;19,094;78,189;78,986;76,927;20,911;20,386;19,106;0,15;0,203;0,006
1948007;44;78,299;78,595;21,87;21,008;77,93;78,329;77,894;21,094;20,831;20,626;-0,038;-0,024;-0,065
1948010;24;81,207;81,758;19,087;16,538;79,69;79,625;80,31;15,333;14,508;14,91;-0,198;-0,254;-0,158
1948014;23;69,518;70,186;29,948;27,123;66,854;68,861;68,726;23,163;26,314;26,305;-0,226;-0,093;-0,104
1949000;27;67,446;68,033;20,569;18,333;66,486;65,768;66,574;18,401;16,21;16,799;-0,109;-0,242;-0,146
1949002;39;74,839;75,073;18,14;17,487;75,104;75,087;74,445;18,66;17,497;17,087;0,031;0,001;-0,071
1949003;36;72,348;72,638;15,981;14,701;72,041;70,921;71,514;15,332;13,09;13,554;-0,043;-0,229;-0,143
1949004;63;72,565;72,769;16,661;15,477;71,804;71,8;71,803;14,944;14,732;14,733;-0,107;-0,116;-0,116
1949005;45;80,04;80,322;18,187;17,135;79,692;79,562;79,428;17,451;16,556;16,485;-0,043;-0,082;-0,098
1949006;47;76,536;76,709;20,635;20,552;76,433;77,076;76,453;20,422;20,737;20,479;-0,011;0,033;-0,024
1949007;32;75,386;75,491;15,584;15,951;75,725;76,185;75,39;16,239;16,251;15,941;0,047;0,081;-0,013
1950000;46;74,248;74,246;13,438;14;75,023;74,977;74,336;14,835;14,34;14,019;0,119;0,095;0,013
1950011;34;73,147;73,191;17,193;17,799;74,34;74,466;73,164;19,294;18,466;17,793;0,142;0,13;-0,003
1950012;23;72,576;73,09;17,412;15,653;71,715;72,038;72,098;15,453;14,793;14,824;-0,116;-0,128;-0,12
1950017;18;72,817;73,063;20,105;20,962;73,518;74,742;72,862;21,426;21,524;21,016;0,074;0,15;-0,021
1950018;21;78,105;78,248;15,426;15,613;78,49;78,848;77,913;16,165;15,9;15,566;0,053;0,071;-0,045
1951000;34;79,279;79,623;17,688;16,606;78,912;79,078;78,827;16,91;16,201;16,067;-0,047;-0,061;-0,092
1951001;44;72,839;72,624;13,984;15,506;73,494;73,339;72,863;15,188;15,643;15,482;0,098;0,082;0,031
1951003;30;75,179;75,468;15,237;14,02;74,259;74,783;74,708;13,081;13,554;13,532;-0,145;-0,092;-0,104
1951004;27;73,662;73,855;20,2;20,5;74,156;74,755;73,583;21,15;20,924;20,462;0,052;0,081;-0,027
1951005;36;68,798;68,442;19,652;22,116;69,665;69,632;68,785;21,255;22,267;22,03;0,092;0,098;0,032
1952000;32;73,221;72,374;15,183;20,652;73,626;74,319;73,351;15,96;19,52;19,332;0,057;0,183;0,111
1952001;32;73,382;73,313;16,046;16,927;74,045;73,775;73,19;17,28;17,088;16,918;0,087;0,049;-0,014
1952002;35;76,902;76,308;12,54;16,139;77,625;77,842;77,012;13,843;15,642;15,444;0,119;0,183;0,099
1953000;28;77,456;77,918;23,601;22,316;77,01;77,641;77,024;22,657;22,121;21,813;-0,042;-0,024;-0,08
1953001;34;68,816;69,117;16,334;15,373;68,677;68,69;68,389;16,048;15,039;14,856;-0,019;-0,053;-0,092
1953003;25;82,402;82,809;17,293;15,273;81,329;81,02;81,546;14,768;13,552;13,852;-0,149;-0,236;-0,154
1953004;23;75,866;75,976;21,097;21,332;74,536;76,187;75,564;17,96;21,379;21,388;-0,152;0,019;-0,041
1954003;28;84,598;85,025;29,598;28,926;85,31;85,602;84,167;30,97;29,312;28,53;0,051;0,037;-0,059
1954004;36;82,235;82,155;23,558;24,859;84,812;84,883;82,385;27,772;26,316;24,902;0,217;0,198;0,019
1954005;30;78,119;78,724;19,804;16,268;75,957;74,907;76,613;13,894;11,789;12,994;-0,292;-0,519;-0,226
1954006;25;80,068;80,397;17,602;17,174;80,139;80,797;79,947;17,745;17,406;17,031;0,009;0,043;-0,054
1955000;31;88,773;89,581;31,857;27,346;85,941;85,775;86,901;24,643;23,525;24,096;-0,226;-0,282;-0,179
1956001;21;73,69;74,407;23,363;20,056;71,518;72,355;72,806;17,756;18,24;18,404;-0,238;-0,201;-0,147
1956003;36;79,069;79,059;17,257;18,097;80,542;80,675;79,186;19,774;18,916;18,115;0,173;0,163;0,015
1956004;37;80,827;80,868;21,084;21,756;81,953;81,706;80,776;23,129;22,146;21,739;0,111;0,071;-0,009
1956005;41;76,857;77,045;18,164;17,911;76,526;77,091;76,676;17,465;17,933;17,798;-0,041;0,005;-0,041
1956008;22;82,201;82,875;31,182;28,106;79,872;81,082;81,107;25,502;26,852;26,856;-0,184;-0,119;-0,117
1957003;24;77,804;77,635;16,755;18,857;80,922;81,93;78,01;21,205;20,453;18,705;0,353;0,422;0,046
1957004;33;67,048;65,654;25,735;33,113;73,092;72,888;67,799;33,66;33,136;31,326;0,436;0,415;0,152
1957005;27;78,682;79,66;31,523;25,643;75,07;73,678;76,291;21,438;18,403;20,202;-0,312;-0,519;-0,225
1957006;31;72,974;73,918;33,488;28,582;69,91;70,386;71,203;25,621;25,197;25,521;-0,234;-0,241;-0,17
2040001;66;78,965;78,853;21,966;23,342;80,73;81,118;79,656;25,013;24,42;23,5;0,163;0,178;0,069
2040003;59;52,074;52,082;34,48;34,88;53,92;54,069;51,955;37,833;36,256;34,813;0,111;0,104;-0,007
2040004;64;78,913;79,154;27,596;26,959;78,128;78,922;78,545;25,899;26,834;26,699;-0,065;-0,016;-0,044
2040005;71;88,225;88,566;26,388;24,818;87,811;87,332;87,223;25,518;23,797;23,729;-0,035;-0,095;-0,104
2040006;68;67,557;67,872;23,501;21,941;66,428;66,706;66,651;20,942;21,102;21,083;-0,113;-0,097;-0,103
2040007;68;68,723;68,947;23,986;23,007;67,695;68,191;68,061;21,685;22,59;22,572;-0,1;-0,059;-0,071
2040008;67;62,548;61,721;17,922;23,31;65,658;65,727;63,957;22,459;22,71;21,627;0,332;0,336;0,214
2040010;66;74,854;74,51;26,439;29,091;75,228;75,968;75,247;27,175;29,31;29,02;0,031;0,093;0,051
2040011;69;81,881;82,319;24,012;21,1;79,908;79,918;80,256;19,094;18,832;18,948;-0,205;-0,22;-0,18
2040012;69;73,787;73,737;18,385;18,97;74,29;74,426;73,847;19,347;19,314;19,007;0,058;0,066;0,011
2040013;38;66,868;66,853;26,288;27,516;68,513;68,94;67,018;29,223;28,527;27,543;0,129;0,139;0,012
2040014;56;83,986;83,721;30,689;32,513;85,466;85,078;84,022;33,405;33,079;32,575;0,101;0,076;0,018
2040015;43;63,053;63,342;17,733;16,647;62,809;62,624;62,47;17,224;16,064;15,97;-0,031;-0,082;-0,101
2040017;62;89,77;90,189;27,417;25,322;88,711;88,41;88,471;25,073;23,859;23,886;-0,089;-0,129;-0,124
2040018;61;77,847;78,104;21,961;20,98;77,239;77,681;77,387;20,651;20,697;20,561;-0,063;-0,038;-0,067
2040020;56;63,71;64,002;23,194;21,648;63,141;62,445;62,516;21,975;20,335;20,373;-0,056;-0,132;-0,125
2040022;43;69,582;68,783;19,484;24,662;72,682;72,539;70,468;24,122;24,287;23,345;0,306;0,291;0,155
2040023;51;59,809;59,606;21,755;23,463;60,952;61,146;60,086;23,835;23,996;23,49;0,109;0,12;0,041
2040035;74;80,354;80,524;26,535;26,152;80,66;80,926;80,174;27,139;26,421;25,963;0,025;0,029;-0,026
2040045;22;75,893;75,795;15,903;17,658;76,862;77,965;75,954;17,639;18,209;17,583;0,126;0,23;0,02
2041000;57;66,923;66,943;18,528;18,919;67,314;67,348;66,852;19,286;19,117;18,89;0,045;0,039;-0,009
2041001;80;75,077;75,131;19,872;19,455;74,121;74,433;74,364;17,704;19,098;19,101;-0,113;-0,061;-0,069
2041002;77;68,874;68,783;15,947;16,918;70,051;70,396;69,431;18,002;17,707;17,073;0,151;0,175;0,076
2041003;76;74,048;73,992;17,798;18,326;74,383;74,484;74,052;18,449;18,56;18,345;0,04;0,049;0,006
2041005;74;68,719;68,561;15,522;16,987;69,59;69,574;69,119;17,096;17,226;16,991;0,116;0,11;0,065
2041008;64;64,181;62,676;21,807;29,266;66,6;65,819;66,919;25,752;28,538;32,279;0,22;0,154;0,124
2041010;70;79,33;79,824;27,786;24,838;77,349;77,47;77,726;23,003;22,754;22,848;-0,174;-0,183;-0,158
2041011;63;64,355;64;20,922;23,343;64,394;65,166;64,594;21,001;23,439;23,237;0,004;0,093;0,051
2041013;63;64,744;64,816;18,453;18,614;64,892;65,251;64,741;18,748;18,835;18,589;0,017;0,043;-0,008
2041014;67;74,972;75,119;17,878;17,299;74,657;74,808;74,56;17,214;17,091;16,969;-0,039;-0,033;-0,062
2041015;64;60,435;59,808;27,929;30,963;64,151;64,043;61,477;33,751;32,918;31,237;0,26;0,246;0,108
2041016;62;76,718;76,445;22,599;24,699;76,926;77,309;76,824;23,012;24,818;24,668;0,02;0,064;0,03
2041017;59;76,71;76,668;16,32;16,817;76,777;77,041;76,636;16,455;16,978;16,809;0,009;0,041;-0,004
2041018;61;70,642;70,659;19,274;20,049;70,339;71,117;70,751;18,637;20,151;20,05;-0,035;0,043;0,009
2041019;59;71,137;71,3;20,969;20,588;70,935;71,067;70,777;20,55;20,455;20,346;-0,021;-0,021;-0,048
2041020;57;71,3;71,306;17,036;17,029;71,397;71,041;70,818;17,23;16,876;16,791;0,012;-0,028;-0,053
2041021;53;90,649;90,666;21,623;22,177;91,157;91,241;90,598;22,603;22,448;22,158;0,05;0,047;-0,006
2041023;49;70,858;71,12;20,385;19,521;70,678;70,74;70,358;20,012;19,244;19,027;-0,02;-0,036;-0,075
2041046;51;72,959;72,56;15,144;18,351;74,825;75,267;73,797;18,121;18,364;17,593;0,243;0,284;0,15
2041048;36;67,565;67,07;18,42;22,178;69,984;70,386;68,184;22,222;22,335;21,441;0,257;0,284;0,114
2042000;66;64,667;64,617;17,941;19,008;65,217;65,602;65,007;18,987;19,313;19,03;0,065;0,097;0,042
2042008;78;72,219;72,195;18,464;19,097;72,912;73,355;72,559;19,763;19,693;19,209;0,079;0,113;0,038
2042010;71;62,931;62,311;18,471;22,041;64,968;63,818;65,809;21,797;22,141;21,924;0,219;0,129;0,098
2042011;68;73,964;74,265;19,032;17,512;73,1;73,111;73,146;17,084;16,579;16,595;-0,106;-0,126;-0,122
2042014;52;67,024;66,908;18,985;20,672;67,441;68,045;67,362;19,791;20,827;20,579;0,047;0,105;0,046
2042015;40;64,095;64,269;23,991;23,772;63,763;64,04;63,636;23,298;23,659;23,55;-0,031;-0,017;-0,051
2042016;51;62,4;62,294;17,994;19,349;63,595;64,075;62,831;20,11;20,04;19,367;0,136;0,17;0,057
2042017;49;64,966;65,019;19,405;19,622;65,289;65,441;64,818;20,037;19,845;19,553;0,036;0,04;-0,02
2042018;46;72,935;73,127;19,561;19,356;73,034;73,425;72,811;19,761;19,527;19,231;0,011;0,029;-0,032
2042027;78;69,197;69,306;18,318;18,159;69,546;69,617;69,126;18,997;18,362;18,064;0,041;0,032;-0,019
2042031;39;75,33;75,627;21,919;20,871;75,207;75,259;74,771;21,667;20,588;20,302;-0,012;-0,034;-0,081
2043002;71;74,378;74,766;23,211;20,673;72,654;72,764;72,99;19,013;18,882;18,955;-0,183;-0,19;-0,163
2043004;75;78,567;78,932;25,624;23,186;76,667;77,17;77,24;20,997;21,819;21,833;-0,182;-0,141;-0,134
2043005;55;62,749;62,784;16,087;16,18;63,535;63,034;62,538;17,528;16,343;16,054;0,102;0,028;-0,029
2043009;79;69,668;69,908;17,241;15,905;69,079;68,58;68,714;15,95;14,742;14,82;-0,078;-0,16;-0,141
2043010;72;65,149;64,775;19,187;21,387;65,583;66,048;65,451;20,026;21,613;21,343;0,048;0,111;0,063
2043011;79;72,324;72,167;19,294;21,365;73,414;73,829;73,138;21,261;21,627;21,231;0,117;0,148;0,094
2043013;61;63,762;63,89;17,155;17,042;64,083;64,214;63,707;17,781;17,239;16,959;0,04;0,035;-0,021
2043014;76;72,685;72,764;20,414;20,5;73,174;73,354;72,741;21,355;20,853;20,489;0,051;0,053;-0,002
2043018;54;66,327;66,742;21,157;18,96;64,762;65,214;65,309;17,35;17,704;17,727;-0,182;-0,149;-0,137
2043025;60;73,667;73,76;17,064;16,835;73,948;73,767;73,35;17,613;16,841;16,601;0,035;0,001;-0,046
2043026;45;62,491;61,965;18,014;22,164;63,659;63,748;62,967;20,09;21,669;21,39;0,133;0,154;0,099
2043027;49;66,382;66,272;19,414;20,507;65,711;66,706;66,308;17,944;20,551;20,502;-0,079;0,04;0,004
2043042;43;75,776;76,293;23,885;21,383;74,263;74,412;74,669;20,312;19,755;19,87;-0,152;-0,17;-0,143
2043043;38;81,074;81,166;21,924;21,802;81,681;81,522;80,576;23,083;22,044;21,488;0,059;0,03;-0,053
2043056;33;60,164;60,63;19,082;17,189;59,116;59,28;59,412;16,662;16,065;16,125;-0,13;-0,147;-0,13
2043059;27;99,284;99,912;29,364;27,341;98,976;98,839;98,467;28,724;26,463;26,23;-0,023;-0,075;-0,103
2043060;33;63,269;63,32;14,523;15,216;63,826;64,449;63,401;15,566;15,666;15,215;0,081;0,138;0,011
2044002;47;70,184;69,993;13,777;15,274;72,008;72,121;70,637;16,639;16,083;15,239;0,259;0,256;0,089
2044003;67;72,365;72,599;17,346;16,182;71,611;71,706;71,675;15,656;15,505;15,492;-0,101;-0,103;-0,107
2044006;61;66,605;66,575;18,822;19,893;66,813;67,648;66,966;19,233;20,216;19,9;0,024;0,102;0,04
2044007;76;69,547;69,696;19,299;18,848;69,448;69,692;69,306;19,097;18,845;18,628;-0,011;0;-0,04
2044008;67;67,457;66,745;12,429;16,246;70,278;70,749;68,566;16,178;16,34;15,019;0,423;0,478;0,25
2044009;69;70,94;71,209;17,74;16,466;70,271;70,195;70,198;16,262;15,653;15,654;-0,087;-0,116;-0,116
2044012;68;78,648;79,034;23,624;21,726;77,459;77,673;77,683;20,912;20,658;20,662;-0,118;-0,119;-0,117
2044016;50;70,304;70,265;14,34;15,062;71,573;71,758;70,562;16,497;15,859;15,13;0,178;0,18;0,04
2044019;47;71,408;71,399;17,683;18,298;71,908;72,05;71,395;18,638;18,587;18,297;0,06;0,065;0
2044020;46;72,31;72,361;17,444;17,737;72,559;72,76;72,209;17,934;17,927;17,695;0,031;0,041;-0,017
2044021;39;76,078;76,129;16,687;17,202;77,132;77,257;76,15;18,564;17,8;17,207;0,13;0,12;0,002
2044024;49;76,47;76,307;17,801;19,472;78,109;77,727;76,85;20,568;19,883;19,448;0,185;0,134;0,057
2044026;41;72,368;72,71;17,845;16,416;71,503;71,791;71,758;15,881;15,71;15,695;-0,114;-0,106;-0,111
2044027;33;72,685;72,976;14,999;13,779;72,041;72,161;72,158;13,558;13,111;13,109;-0,1;-0,114;-0,115
2044037;33;70,36;70,593;16,727;15,559;69,28;69,747;69,696;14,166;15,029;15,026;-0,156;-0,096;-0,103
2044038;28;75,619;75,737;15,615;16,028;76,66;77,172;75,637;17,458;16,809;16,013;0,137;0,164;-0,013
2044040;34;69,09;69,898;24,95;19,95;65,937;66,146;67,196;15,682;15,41;15,865;-0,359;-0,374;-0,222
2044041;43;75,261;75,576;16,928;15,303;74,159;74,418;74,485;14,313;14,382;14,399;-0,157;-0,139;-0,129
2044042;43;77,079;77,299;21,189;20,883;77,013;77,527;76,89;21,055;21,012;20,724;-0,007;0,02;-0,039
2044043;42;79,894;80,013;20,239;20,451;79,885;80,318;79,787;20,219;20,582;20,405;-0,001;0,028;-0,022
2044047;26;62,937;62,195;20,633;24,827;67,147;66,568;63,043;26,457;25,519;24,368;0,384;0,324;0,078
2044050;19;73,436;74,084;17,892;15,541;72,152;72,576;72,939;14,789;14,204;14,397;-0,175;-0,19;-0,137
2044052;37;72,498;72,61;17;16,548;72,546;72,055;71,865;17,097;16,187;16,119;0,006;-0,059;-0,082
2044053;32;77,127;77,605;20,63;18,875;76,358;76,514;76,491;18,934;17,992;17,98;-0,086;-0,111;-0,113
2044054;33;71,392;71,447;14,116;14,587;71,347;71,824;71,355;14,026;14,697;14,59;-0,007;0,048;-0,013
2045001;64;72,387;72,65;21,919;20,457;71,399;71,534;71,49;19,694;19,631;19,613;-0,105;-0,102;-0,107
2045002;69;68,128;68,355;18,627;17,609;67,645;67,669;67,544;17,589;17,103;17,043;-0,059;-0,073;-0,088
2045004;70;56,52;56,048;18,361;21,42;58,603;58,839;57,535;21,743;21,918;21,122;0,225;0,243;0,144
2045005;71;75,596;75,998;21,712;19,436;74,351;73,593;74,114;18,82;17,158;17,468;-0,137;-0,243;-0,181
2045010;45;78,927;79,233;20,543;19,592;78,892;78,934;78,464;20,472;19,366;19,081;-0,004;-0,029;-0,077
2045011;45;79,257;79,541;20,842;19,705;79,328;78,646;78,459;20,985;18,932;18,796;0,007;-0,086;-0,105
2045012;39;74,313;74,432;16,659;16,677;74,324;74,909;74,211;16,681;16,935;16,61;0,001;0,053;-0,027
2045013;39;75,948;76,042;17,623;17,886;76,869;76,736;75,875;19,298;18,279;17,83;0,109;0,07;-0,019
2045020;34;72,204;72,941;26,25;21,788;69,262;69,786;70,468;18,12;18,363;18,552;-0,303;-0,281;-0,195
2045021;48;68,002;68,419;22,613;20,401;66,736;66,447;66,801;19,681;18,656;18,852;-0,133;-0,188;-0,149
2045026;32;70,903;71,028;17,827;18,004;71,089;71,552;70,764;18,196;18,257;17,947;0,023;0,054;-0,03
2046007;72;66,449;66,451;16,237;16,811;66,841;67,114;66,652;16,994;17,09;16,857;0,052;0,073;0,024
2046009;45;66,623;67,008;16,383;14,206;65,3;64,728;65,423;13,099;11,869;12,305;-0,201;-0,311;-0,193
2046011;52;68,004;67,87;14,836;16,086;68,645;68,792;68,196;16,024;16,327;16,075;0,091;0,106;0,041
2046013;46;80,64;80,802;20,42;20,401;80,125;81,095;80,581;19,315;20,524;20,357;-0,057;0,027;-0,022
2046025;28;71,987;72,492;20,342;18,191;70,777;70,944;71,163;17,514;16,877;16,978;-0,142;-0,161;-0,134
2046027;16;67,85;68,451;14,142;11,569;66,365;61,801;67,167;10,147;4,167;9,533;-0,278;-1,937;-0,187
2047005;44;69,544;69,508;19,064;19,962;70,098;70,693;69,66;20,119;20,47;19,982;0,062;0,11;0,015
2047007;37;70,453;70,743;25,535;25,199;70,519;70,921;70,189;25,669;25,296;25,004;0,006;0,013;-0,043
2047013;35;68,801;69,226;22,624;21,147;68,008;68,396;68,188;20,882;20,566;20,484;-0,081;-0,073;-0,094
2047016;48;71,34;71,21;16,107;17,561;73,013;73,294;71,837;18,871;18,369;17,548;0,207;0,219;0,075
2047017;59;71,144;71,346;18,447;17,714;71,13;70,888;70,618;18,419;17,369;17,209;-0,002;-0,048;-0,078
2047018;69;78,343;78,394;18,759;18,813;78,039;78,307;78,077;18,119;18,772;18,699;-0,036;-0,008;-0,032
2047019;50;70,568;70,522;17,959;18,939;71,507;71,47;70,747;19,669;19,314;18,97;0,109;0,091;0,024
2047020;47;74,833;75,184;22,27;21,013;74,351;74,536;74,253;21,246;20,532;20,383;-0,049;-0,058;-0,086
2047025;70;70,337;70,545;17,938;17,003;69,897;69,817;69,712;16,995;16,461;16,41;-0,056;-0,079;-0,092
2047027;56;66,366;66,489;16,356;15,887;65,451;66,234;66,056;14,237;15,769;15,735;-0,133;-0,03;-0,053
2047029;58;72,411;72,489;19,612;19,647;72,672;72,731;72,233;20,128;19,783;19,541;0,029;0,023;-0,025
2047031;34;64,46;64,622;13,598;13,544;64,751;65,108;64,423;14,163;13,819;13,485;0,046;0,067;-0,03
2047032;50;72,926;73,03;17,128;17,205;72,711;73,239;72,849;16,68;17,293;17,164;-0,028;0,023;-0,021
2047037;49;72,749;72,873;17,109;17,046;73,224;73,288;72,646;18,017;17,304;16,946;0,059;0,045;-0,026
2047045;15;71,321;71,851;16,411;15,264;71,603;71,99;71,136;16,962;15,374;14,821;0,037;0,017;-0,094
2047057;45;70,645;70,066;16,483;20,353;71,729;72,169;71,118;18,405;20,029;19,625;0,135;0,197;0,113
2047058;52;75,07;75,064;16,97;17,355;74,687;75,232;74,906;16,155;17,417;17,325;-0,051;0,018;-0,018
2047059;48;54,969;54,481;26,395;29,609;58,869;58,37;55,838;32,349;30,951;29,529;0,286;0,239;0,096
2047060;37;72,737;72,8;17,13;17,782;73,47;74,013;72,875;18,49;18,338;17,79;0,09;0,126;0,009
2047067;51;74,776;74,899;19,444;19,256;74,493;74,937;74,521;18,852;19,276;19,111;-0,033;0,004;-0,038
2047080;39;74,36;75,003;30,373;24,211;69,968;71,761;72,054;16,035;20,395;20,267;-0,449;-0,228;-0,19
2047082;39;82,809;83,044;21,098;19,829;81,632;82,197;82,057;18,373;19,28;19,239;-0,133;-0,08;-0,095
2047100;32;77,447;78,113;23,425;19,688;74,934;75,686;76,169;16,604;17,235;17,328;-0,286;-0,247;-0,18
2047102;27;66,448;66,602;15,194;15,186;67,197;67,72;66,313;16,565;15,922;15,093;0,103;0,136;-0,039
2047116;18;80,899;80,91;12,746;13,674;81,722;82,33;80,813;14,21;14,174;13,698;0,133;0,192;-0,016
2048002;40;74,434;74,931;26,179;24,277;73,611;73,772;73,624;24,388;23,372;23,294;-0,072;-0,091;-0,104
2048004;45;72,324;72,598;19,37;18,481;72,28;72,13;71,775;19,28;18,119;17,895;-0,005;-0,047;-0,085
2048006;37;72,066;72,813;26,345;22,363;69,603;69,334;70,347;19,976;18,705;19,231;-0,24;-0,313;-0,196
2048009;43;78,713;78,606;20,847;22,351;79,743;80,062;78,958;22,731;22,837;22,35;0,103;0,12;0,032
2048011;39;69,026;69,27;21,056;20,892;69,067;69,804;68,981;21,14;21,178;20,808;0,004;0,048;-0,028
2048013;43;72,035;72,298;14,892;13,93;71,646;71,688;71,575;14,057;13,462;13,402;-0,059;-0,082;-0,099
2048014;67;72,036;71,846;15,788;17,172;71,954;72,197;71,978;15,618;17,21;17,163;-0,012;0,037;0,015
2048016;54;73,253;73;17,53;19,026;75,177;74,439;73,482;20,674;19,641;19,106;0,218;0,136;0,05
2048019;64;66,201;66,243;18,528;18,832;66,273;66,655;66,195;18,673;19,026;18,818;0,009;0,04;-0,005
2048020;74;76,741;76,76;15,58;15,953;77,035;77,255;76,852;16,152;16,187;15,981;0,041;0,057;0,011
2048021;71;70,908;70,661;14,974;16,555;71,438;71,728;71,21;15,972;16,813;16,556;0,075;0,119;0,066
2048023;71;69,107;68,982;17,558;18,827;69,943;69,833;69,383;19,094;19,091;18,871;0,099;0,083;0,042
2048027;68;71,613;71,584;15,654;16,307;72,584;72,817;71,953;17,388;16,957;16,415;0,128;0,139;0,045
2048029;67;75,889;76,082;21,468;19,835;74,307;74,703;74,715;17,62;18,829;18,83;-0,181;-0,121;-0,119
2048032;54;71,977;71,954;17,101;17,586;72,73;72,601;71,94;18,494;17,936;17,581;0,092;0,067;-0,002
2048033;36;75,467;75,812;18,6;17,133;74,592;74,727;74,721;16,622;16,312;16,311;-0,11;-0,114;-0,115
2048034;63;71,94;72,513;27,413;22,946;68,866;69,444;69,805;18,916;19,716;19,749;-0,303;-0,244;-0,2
2048047;72;72,269;72,648;23,065;20,557;70,361;70,865;71,001;18,301;19,069;19,101;-0,207;-0,166;-0,15
2048065;55;72,608;72,613;15,815;16,307;73,486;73,764;72,784;17,404;16,955;16,362;0,115;0,129;0,021
2048077;28;78,148;77,933;18,318;19,598;77,902;78,217;77,694;17,804;19,66;19,616;-0,03;0,026;-0,024
2048080;33;72,574;72,739;19,685;19,994;73,009;73,677;72,604;20,527;20,444;19,975;0,047;0,087;-0,014
2048087;51;74,12;74,079;23,259;23,335;73,727;73,772;73,442;22,434;23,179;23,081;-0,038;-0,023;-0,051
2048089;40;72,729;72,635;16,565;17,916;74,023;74,212;73,01;18,807;18,463;17,899;0,159;0,162;0,044
2048090;28;69,198;69,122;15,212;15,55;68,351;69,014;68,754;13,252;15,53;15,568;-0,132;-0,013;-0,046
2048091;29;77,961;78,396;17,01;14,384;76,256;76,43;76,946;12,501;12,344;12,531;-0,262;-0,28;-0,184
2048092;27;70,244;70,191;18,571;20,5;71,719;72,339;70,532;21,121;20,966;20,36;0,161;0,196;0,037
2048093;29;70,879;71,438;22,713;18,788;68,238;68,689;69,337;15,285;15,899;16,092;-0,318;-0,281;-0,189
2048094;26;72,646;72,851;19,258;18,93;73,918;73,55;72,188;21,513;19,462;18,541;0,136;0,067;-0,069
2048096;19;83,793;84,421;22,889;20,951;82,966;83,339;83,205;21,068;20,161;20,106;-0,083;-0,095;-0,108
2048101;32;68,072;67,974;14,211;15,347;69,499;69,381;68,147;16,582;15,898;15,344;0,201;0,167;0,024
2048102;24;79,637;80,081;20,055;18,981;79,523;79,74;79,246;19,823;18,743;18,501;-0,012;-0,033;-0,085
2049002;41;74,562;74,72;19,225;19,443;74,677;75,401;74,633;19,455;19,747;19,427;0,013;0,066;-0,009
2049003;40;73,647;74,111;19,336;17,113;72,448;72,03;72,581;16,516;15,141;15,47;-0,149;-0,239;-0,165
2049004;49;73,174;73,339;18,48;18,135;72,95;73,286;72,906;18,013;18,105;17,949;-0,027;-0,005;-0,046
2049006;55;71,886;72,154;20,24;18,886;70,926;71,097;71,057;18,066;18,133;18,122;-0,111;-0,101;-0,106
2049009;55;74,088;74,235;25,038;24,759;74,971;74,893;73,768;26,7;25,237;24,487;0,074;0,049;-0,037
2049010;63;72,737;73,164;23,47;21,293;71,439;71,406;71,578;20,471;19,79;19,872;-0,131;-0,159;-0,141
2049011;38;79,316;79,63;20,3;19,278;78,687;79,157;78,854;18,931;18,97;18,848;-0,071;-0,046;-0,078
2049012;56;72,153;72,714;22,729;19,076;69,787;69,042;70,124;16,383;14,94;15,563;-0,275;-0,388;-0,235
2049013;65;70,772;71,173;20,763;18,536;69,46;69,189;69,518;17,664;16,722;16,886;-0,152;-0,209;-0,167
2049014;71;73,337;73,385;18,765;19,176;73,557;74,021;73,503;19,2;19,466;19,209;0,025;0,062;0,012
2049015;38;71,329;71,555;16,284;15,874;71,224;71,678;71,175;16,068;15,947;15,719;-0,014;0,015;-0,048
2049017;63;72,123;72,114;16,495;17,066;72,611;72,658;72,207;17,424;17,309;17,091;0,063;0,058;0,011
2049018;43;77,95;78,272;21,046;20,141;78,022;78,081;77,521;21,192;19,998;19,655;0,008;-0,018;-0,073
2049019;40;74,204;74,707;22,836;20,527;73,078;72,496;72,999;20,274;18,5;18,809;-0,116;-0,206;-0,152
2049021;62;72,902;72,954;19,549;19,957;73,671;73,962;73,101;20,986;20,512;20,006;0,083;0,093;0,015
2049024;48;70,43;70,275;24,304;26,061;71,689;71,105;70,473;26,599;26,281;26,065;0,108;0,058;0,015
2049027;56;69,995;70,149;22,611;22,526;70,328;70,755;69,929;23,265;22,892;22,432;0,032;0,05;-0,019
2049028;55;70,513;70,598;18,785;18,539;70,887;70,294;70,001;19,511;18,338;18,195;0,043;-0,029;-0,06
2049029;51;70,98;71,178;14,897;14,243;70,637;70,929;70,688;14,165;14,078;13,965;-0,052;-0,033;-0,067
2049032;42;72,465;72,378;17,678;19,149;72,301;72,966;72,53;17,338;19,18;19,109;-0,021;0,057;0,016
2049033;68;69,141;69,425;20,186;18,446;68,017;68,149;68,202;17,584;17,407;17,424;-0,132;-0,135;-0,128
2049051;47;78,168;78,584;23,536;21,376;76,71;76,994;77,105;20,106;20,108;20,153;-0,149;-0,141;-0,129
