Estação;N;Gumbel;;;;Generalizada de Valores Extremos;;;;;;;;
;;csi;;alpha;;csi;;;alpha;;;kappa;;
;;MOM-L;ML;MOM-L;ML;MOM-L;ML;GEV;MOM-L;ML;GEV;MOM-L;ML;GEV
245009;35;67,966;68,294;16,968;15,767;67,074;67,694;67,541;14,922;15,36;15,307;-0,124;-0,072;-0,093
245010;21;80,844;81,384;19,319;17,351;80,175;79,833;80,194;17,852;15,942;16,176;-0,079;-0,176;-0,13
245011;34;74,417;74,954;21,34;18,085;72,188;72,572;73,105;15,351;15,628;15,786;-0,276;-0,266;-0,186
247000;37;87,537;87,827;17,809;16,546;86,177;87,234;87,104;14,478;16,204;16,191;-0,188;-0,069;-0,086
247003;30;69,147;69,785;27,546;25;68,311;66,284;67,793;25,73;21,67;22,888;-0,069;-0,277;-0,147
247004;30;90,964;91,394;22,352;21,296;90,774;91,28;90,616;21,96;21,22;20,88;-0,019;-0,01;-0,073
247005;25;76,884;77,251;22,369;21,82;77,813;78,267;76,575;24,097;22,551;21,49;0,087;0,086;-0,062
247006;22;73,396;73,173;23,994;26,359;77,64;78,876;73,321;30,15;29,028;26,34;0,337;0,392;0,012
247008;17;81,011;79,63;21,637;29,27;86,734;85,112;87,686;28,764;28,066;33,408;0,485;0,382;0,044
248001;32;84,273;84,264;19,808;20,39;83,841;84,767;84,029;18,887;20,575;20,372;-0,049;0,046;-0,024
248003;35;91,359;90,627;14,545;18,548;94,968;94,426;91,864;19,17;18,565;17,58;0,458;0,387;0,155
248006;28;92,666;92,9;17,859;17,811;92,721;93,326;92,567;17,969;18,019;17,741;0,007;0,044;-0,038
249002;33;96,039;96,376;21,977;20,953;95,766;96,096;95,577;21,407;20,755;20,495;-0,028;-0,025;-0,076
249003;24;92,851;93,427;22,297;19,27;90,915;91,189;91,702;17,402;17,162;17,369;-0,219;-0,221;-0,157
249004;24;96,709;96,304;22,773;25,938;101,449;102,207;96,831;29,283;28,061;25,756;0,391;0,418;0,046
250000;40;87,019;87,223;18,769;18,397;87,194;87,509;86,78;19,116;18,585;18,187;0,02;0,029;-0,048
250001;29;87,903;88,27;18,227;16,963;87,223;87,584;87,4;16,725;16,471;16,388;-0,086;-0,076;-0,098
250002;33;90,37;90,798;18,521;16,731;89,514;89,433;89,624;16,59;15,548;15,651;-0,108;-0,157;-0,132
250003;24;89,232;89,237;19,247;20,436;92,119;93,987;89,261;23,637;23,265;20,436;0,29;0,42;0,003
251000;37;76,608;76,675;21,511;22,061;77,752;78,114;76,59;23,591;22,864;22,037;0,11;0,119;-0,008
252001;28;78,717;78,679;20,821;22,59;80,64;81,054;78,967;24,066;23,358;22,527;0,186;0,194;0,028
253000;30;70,986;71,089;22,817;23,675;72,722;73,141;71,07;25,836;24,72;23,673;0,155;0,159;-0,002
254000;33;107,48;107,072;24,735;27,451;110,704;109,328;107,522;29,811;28,181;27,42;0,255;0,148;0,034
255000;15;97,703;98,532;23,637;21,702;96,7;98,212;97,554;21,393;21,489;21,229;-0,099;-0,028;-0,091
255001;22;94,823;95,29;20,923;18,707;92,828;93,997;94,058;15,734;17,769;17,78;-0,246;-0,129;-0,121
256001;34;90,209;90,027;28,488;31,011;92,533;93,305;90,623;32,489;32,161;30,933;0,165;0,195;0,041
256002;37;92,95;91,273;17,196;26,211;96,439;96,647;93,558;22,033;23,469;22,475;0,382;0,417;0,219
257000;38;85,176;85,72;25,833;23,081;83,547;83,591;83,943;21,99;21,175;21,334;-0,152;-0,182;-0,146
257001;36;86,302;85,698;26,234;30,126;86,992;87,68;86,368;27,558;30,217;29,857;0,056;0,123;0,047
257002;30;83,564;84,046;22,607;20,936;82,772;82,984;82,864;20,869;20,135;20,078;-0,08;-0,094;-0,106
257003;27;81,121;81,291;23,532;24,044;81,298;81,993;80,98;23,885;24,305;24,032;0,016;0,054;-0,027
258001;19;89,314;89,12;10,079;11,061;89,783;89,413;88,955;10,941;11,122;11,095;0,097;0,047;-0,031
259000;23;80,421;80,777;21,175;20,915;80,674;81,647;80,31;21,675;21,407;20,809;0,026;0,077;-0,047
259004;25;68,055;68,463;15,15;13,678;67,46;67,294;67,496;13,829;12,66;12,785;-0,091;-0,161;-0,129
260006;37;85,364;85,17;18,805;20,968;86,924;87,722;85,815;21,484;21,667;20,797;0,168;0,227;0,067
260007;32;78,862;78,43;21,618;25,391;78,723;80,169;79,047;21,333;25,056;24,902;-0,014;0,132;0,054
260008;16;69,572;71,053;35,467;30,589;67,308;67,648;68,72;30,113;27,449;28,129;-0,154;-0,216;-0,138
260009;15;91,299;90,909;21,219;25,202;95,659;96,216;91,121;27,235;25,887;25,013;0,386;0,395;0,021
265000;31;67,325;67,974;24,323;21,245;65,478;65,625;66,156;19,802;19,059;19,309;-0,187;-0,217;-0,157
